URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/,220290,278,text/html
http://www.latimes.com/nation/la-na-pol-kavanaugh-investigation-20180930-story.html,139546,155,text/html
http://www.latimes.com/local/california/la-me-lopez-bullet-train-20180930-story.html,137679,154,text/html
http://www.latimes.com/nation/nationnow/la-na-nevada-drug-execution-20180929-story.html,111404,150,text/html
http://www.latimes.com/entertainment/movies/,245175,210,text/html
http://www.latimes.com/about/la-editorial-staff-directory-htmlstory.html,158637,446,text/html
http://www.latimes.com/business/,203612,239,text/html
http://www.latimes.com/nation/la-na-iranian-refugee-20180930-story.html,134700,154,text/html
http://www.latimes.com/local/obituaries/la-me-otis-rush-20180930-story.html,112107,151,text/html
http://www.latimes.com/sports/mlb/la-sp-baseball-notes-20180930-story.html,194735,149,text/html
http://www.latimes.com/travel/la-tr-tipsheet-20180928-story.html,197994,158,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-ford-testimony-credibility-memory-20180928-story.html,218618,161,text/html
http://www.latimes.com/nation/nationnow/la-na-women-kavanaugh-20180929-story.html,124748,153,text/html
http://www.latimes.com/local/california/la-me-ln-roosters-20180925-story.html,121081,152,text/html
http://www.latimes.com/brandpublishing/autoplus/,89635,47,text/html
http://www.latimes.com/travel/,312056,275,text/html
http://www.latimes.com/sports/usc/,243045,208,text/html
http://www.latimes.com/la-bio-melissa-etehad-staff.html,98147,184,text/html
http://www.latimes.com/local/california/la-me-lopez-bullet-train-20180930-story.html?outputType=amp,132210,65,text/html
http://www.latimes.com/la-bio-john-myers-staff.html,100722,180,text/html
http://www.latimes.com/sports/sportsnow/,238650,208,text/html
http://www.latimes.com/nation/la-na-florida-kangaroos-20180929-story.html,109810,151,text/html
http://www.latimes.com/politics/la-pol-ca-new-gas-tax-initiative-20180925-story.html,208260,154,text/html
http://www.latimes.com/travel/cruises/,239656,207,text/html
http://www.latimes.com/pb/resources/images/lat_icons/57-iTunesArtwork.png?v=87,1416,0,image/png
http://www.latimes.com/entertainment/movies/la-et-mn-box-office-night-school-smallfoot-20180930-story.html,204455,152,text/html
http://www.latimes.com/sports/angels/la-sp-angels-scioscia-shaikin-20180930-story.html,210256,151,text/html
http://www.latimes.com/style/,271055,232,text/html
http://www.latimes.com/espanol/,297708,247,text/html
http://www.latimes.com/lanews-steve-lopez-20130507-staff.html,99650,180,text/html
http://www.latimes.com/business/la-fi-tesla-elon-musk-20180929-story.html,132525,155,text/html
https://www.latimes.com/resizer/5NEonIPgy-gruFaLmnfocSuAfKU=/1400x0/www.trbimg.com/img-5bb0f300/turbine/la-1538323196-uzswipv061-snap-image,56360,0,image/jpeg
http://www.latimes.com/sports/dodgers/la-sp-dodgers-weekend-20180927-story.html,205761,154,text/html
http://www.latimes.com/local/california/la-me-ln-stfrancis-hospital-20180927-story.html,131736,154,text/html
http://www.latimes.com/business/la-fi-money-talk-advisor-fee-20180930-story.html,119431,152,text/html
http://www.latimes.com/entertainment/herocomplex/,247178,210,text/html
http://www.latimes.com/entertainment/music/la-et-ms-music-tastes-good-review-20180930-story.html,226404,153,text/html
http://www.latimes.com/la-bio-noah-bierman-staff.html,98445,181,text/html
http://www.latimes.com/la-bio-jazmine-ulloa-staff.html,100778,180,text/html
http://www.latimes.com/opinion/op-ed/la-oe-hagerman-white-parents-20180930-story.html,107367,146,text/html
http://www.latimes.com/local/earthquakes/,156062,212,text/html
http://www.latimes.com/brandpublishing/healthplus/,72680,41,text/html
http://www.latimes.com/sports/dodgers/,242624,207,text/html
http://www.latimes.com/local/corrections/,196381,144,text/html
http://www.latimes.com/world/africa/,155839,208,text/html
http://www.latimes.com/politics/la-pol-ca-net-neutrality-california-signed-governor-jerry-brown-20180930-story.html,220948,156,text/html
http://www.latimes.com/la-bio-laura-king-staff.html,99219,183,text/html
http://www.latimes.com/sports/highschool/,241935,208,text/html
http://www.latimes.com/politics/la-na-pol-trump-probe-20180929-story.html,214606,156,text/html
http://www.latimes.com/world/middleeast/,156627,208,text/html
http://www.latimes.com/espanol/politica/,253111,208,text/html
